2021-06-30 18:06:499 INFO  BasePage :31 - Launching Chrome Browser....
2021-06-30 18:06:824 INFO  HomePage :27 - Clicking on Bank Manager login button : [[ChromeDriver: chrome on WINDOWS (11b5c266f3a08f271c465fe82c2d56ea)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-30 18:06:676 INFO  AddCustomerPage :26 - Clicking on Add Customer button : [[ChromeDriver: chrome on WINDOWS (11b5c266f3a08f271c465fe82c2d56ea)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-30 18:06:201 INFO  AddCustomerPage :27 - Enter First Name : [[ChromeDriver: chrome on WINDOWS (11b5c266f3a08f271c465fe82c2d56ea)] -> xpath: //div[@class='form-group']/input[@placeholder='First Name']]
2021-06-30 18:06:548 INFO  AddCustomerPage :32 - Enter Last Name : [[ChromeDriver: chrome on WINDOWS (11b5c266f3a08f271c465fe82c2d56ea)] -> xpath: //div[@class='form-group']/input[@placeholder='Last Name']]
2021-06-30 18:06:763 INFO  AddCustomerPage :37 - Enter Postcode : [[ChromeDriver: chrome on WINDOWS (11b5c266f3a08f271c465fe82c2d56ea)] -> xpath: //div[@class='form-group']/input[@placeholder='Post Code']]
2021-06-30 18:06:301 INFO  BasePage :31 - Launching Chrome Browser....
2021-06-30 18:06:994 INFO  HomePage :27 - Clicking on Bank Manager login button : [[ChromeDriver: chrome on WINDOWS (df3ad913e1295519ad0702d3dbb21a1a)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-30 18:06:553 INFO  AddCustomerPage :26 - Clicking on Add Customer button : [[ChromeDriver: chrome on WINDOWS (df3ad913e1295519ad0702d3dbb21a1a)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-30 18:06:241 INFO  AddCustomerPage :27 - Enter First Name : [[ChromeDriver: chrome on WINDOWS (df3ad913e1295519ad0702d3dbb21a1a)] -> xpath: //div[@class='form-group']/input[@placeholder='First Name']]
2021-06-30 18:06:473 INFO  AddCustomerPage :32 - Enter Last Name : [[ChromeDriver: chrome on WINDOWS (df3ad913e1295519ad0702d3dbb21a1a)] -> xpath: //div[@class='form-group']/input[@placeholder='Last Name']]
2021-06-30 18:06:649 INFO  AddCustomerPage :37 - Enter Postcode : [[ChromeDriver: chrome on WINDOWS (df3ad913e1295519ad0702d3dbb21a1a)] -> xpath: //div[@class='form-group']/input[@placeholder='Post Code']]
2021-06-30 18:06:912 INFO  HomePage :23 - Clicking on Home button : [[ChromeDriver: chrome on WINDOWS (df3ad913e1295519ad0702d3dbb21a1a)] -> xpath: //button[contains(text(),'Home')]]
